Recency,Frequency,Monetary,Segment_Label,R_Next_3Months,Churn
47,7,2413.09541229248,3,1,2
60,9,2330.6588370716017,3,0,0
34,5,1626.000754981761,3,0,0
122,8,1685.155764074047,3,1,1
56,11,2734.6907278132953,2,1,2
20,10,2086.33068256546,3,1,2
15,6,1611.6725945656408,3,1,2
57,2,656.576426740094,0,0,0
47,6,1442.9720760429118,3,1,2
2,15,3736.965181296171,2,1,2
0,17,4701.299661193637,4,1,2
46,4,1205.03680629365,3,0,0
65,8,2566.1673265177787,3,1,2
11,10,2641.4734038621673,2,1,2
93,5,1098.806073534426,3,1,1
22,9,2482.2096416465756,3,0,0
142,2,349.1938549850802,0,1,1
31,5,1532.17160625846,3,1,2
28,9,2742.9346372216996,2,0,0
29,1,63.9898116023481,3,0,0
62,7,1914.0676300738533,3,1,2
31,4,1482.481372626264,3,0,0
67,10,3466.763279075767,3,1,2
22,4,1101.356189602172,3,1,2
6,4,705.7588730310655,3,0,0
49,1,234.881731416959,0,1,2
5,12,3454.171627187186,2,1,2
28,12,4105.322236445841,2,1,2
12,7,1806.894445662967,3,0,0
39,15,4356.503607822466,2,1,2
21,7,2502.278802739005,2,1,2
1,10,2849.6503803222913,2,1,2
183,3,445.65315022681943,0,1,1
72,4,892.9976962488159,0,1,2
170,2,546.5381808879159,0,0,3
11,10,2940.769667274931,2,1,2
80,5,1670.238651303318,3,0,0
6,11,2803.4899655116064,2,1,2
44,3,531.4470370257235,0,0,0
122,9,1929.4294677289226,3,1,1
35,12,3721.477391043889,2,0,0
40,13,3774.076409075221,2,1,2
29,13,4470.943111256651,2,1,2
10,13,3381.35468258227,2,1,2
55,12,2814.947369581477,2,1,2
22,4,1134.1547969675753,3,1,2
14,8,2275.358567660393,3,1,2
102,3,783.145193250391,0,1,1
157,1,419.326688081994,0,0,3
16,6,1830.2268136155913,3,1,2
2,12,4379.432802165612,2,1,2
54,2,529.993179958461,0,0,0
52,14,3908.7871999865706,2,1,2
15,13,3874.044372096802,2,1,2
90,11,2952.9057542035866,2,1,2
1,7,2399.1540489079066,3,0,0
2,13,3142.177624915638,2,1,2
18,14,4267.184254933848,2,1,2
22,15,4419.977343690064,2,1,2
109,5,1278.314859325714,3,1,1
33,1,140.942756116891,0,0,0
9,8,2716.602669124689,2,1,2
119,6,2174.88605382229,3,1,1
78,3,676.465989346292,0,0,0
14,1,466.701735883254,3,1,2
31,2,678.334371880765,0,0,0
11,4,967.1799702324863,3,1,2
9,9,2549.891502345786,2,1,2
11,9,1952.940278139797,3,1,2
98,16,4918.203302782206,1,1,2
42,13,3066.9457496370464,2,1,2
42,5,1560.413304960018,3,1,2
6,6,1531.9738422660246,3,1,2
12,9,2415.9542039293992,3,1,2
18,6,1332.346299384749,3,0,0
4,6,1360.105380409008,3,1,2
42,4,1322.0584300485611,3,1,2
140,4,926.5231941475471,0,1,1
7,15,4232.558433402281,2,1,2
3,8,2296.715769637436,3,1,2
18,14,3682.9519463685574,2,1,2
63,3,1222.310469385735,3,1,2
61,6,2213.314803754189,3,1,2
23,14,3753.2230929492393,2,1,2
58,8,3065.268281622064,3,1,2
46,11,2726.461215208525,2,1,2
0,12,4193.6782634805595,2,1,2
6,11,3185.0768259716306,2,1,2
48,9,2464.034516375601,3,1,2
40,8,2112.5721039247687,3,1,2
25,3,1034.168436484097,3,1,2
6,5,1140.282106098474,3,1,2
7,10,3053.2593452397027,2,1,2
2,3,806.250387992798,3,0,0
16,8,2225.368622625123,3,1,2
22,5,790.055408480405,3,1,2
171,2,513.084924741166,0,1,1
0,14,3743.978394166337,2,1,2
17,4,836.0040516371058,3,1,2
7,8,2575.6765837023477,2,1,2
26,6,1835.9379438713497,3,1,2
120,1,377.181761785731,0,1,1
14,13,3755.9047479887176,2,1,2
53,11,2732.658213199645,2,1,2
1,7,1940.3001356506302,3,1,2
33,5,619.7635133068444,0,1,2
16,16,5246.103682428238,4,1,2
30,1,88.6549106562746,3,1,2
15,2,336.5685310147099,3,0,0
45,5,1391.765640748544,3,1,2
4,15,4344.399678766643,2,1,2
7,9,2789.7959861845006,2,1,2
11,17,4374.96579659303,1,1,2
85,1,492.610456060275,0,1,2
4,15,3961.4410197827992,2,1,2
58,3,662.5360959890354,0,1,2
8,11,1844.7548008800554,3,1,2
56,3,868.4717341023497,0,1,2
97,2,559.4794866457701,0,0,3
12,13,4821.192228638753,1,1,2
0,8,2362.625420110322,3,1,2
107,1,219.321102546002,0,0,3
36,7,2062.905695580016,3,1,2
32,10,2934.0969236789133,3,1,2
4,8,2138.008088704602,3,1,2
0,11,2880.8895039692343,2,1,2
4,8,1765.3320371777693,3,1,2
45,3,915.082510180717,0,0,0
126,2,622.768627999662,0,1,1
7,2,708.286826357433,3,1,2
6,10,2650.344937662805,2,1,2
18,5,1265.3415777649939,3,1,2
36,10,2268.957948616941,3,1,2
6,9,1888.6315750223253,3,1,2
48,13,4010.455293808783,2,1,2
57,7,1181.5982239124987,3,1,2
173,2,503.758729062841,0,1,1
90,6,1681.2392319496728,3,1,2
30,14,4707.7369562807835,1,1,2
17,6,1806.618838297072,3,1,2
5,7,2194.2807249845378,3,1,2
72,9,1886.2230699593347,3,1,2
76,3,718.282963723408,0,1,2
9,17,4954.480717923669,4,1,2
28,11,4121.610636503702,2,1,2
164,3,878.08562103549,0,0,3
56,5,1581.8768773099368,3,0,0
12,4,796.197417990888,3,1,2
1,8,2404.902742136331,3,1,2
13,17,5160.04998270775,4,1,2
52,2,435.10144674805906,0,1,2
15,14,3920.621147980078,2,1,2
10,8,2345.004978347789,3,1,2
21,2,450.5015720506202,3,1,2
149,1,491.826696431077,0,1,1
127,1,345.988445475353,0,1,1
7,9,2199.1047237405787,3,1,2
40,3,1059.388722415202,3,0,0
3,12,3202.9544640107433,2,1,2
8,10,3277.990261521325,2,1,2
9,6,1488.3491136354198,3,1,2
13,7,1462.582582711482,3,1,2
